"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/08","4,762.18","4,835.42","4,856.00","4,733.10","","-1.48%"
"2026/04/07","4,833.63","4,660.00","4,835.95","4,607.30","","3.93%"
"2026/04/06","4,650.89","4,653.83","4,706.67","4,601.08","","0.87%"
"2026/04/05","4,610.62","4,648.31","4,670.74","4,605.25","","-1.41%"
"2026/04/03","4,676.42","4,676.42","4,676.42","4,676.42","","0.00%"
"2026/04/02","4,676.42","4,758.78","4,801.00","4,553.94","","-1.73%"
"2026/04/01","4,758.76","4,672.02","4,793.35","4,661.66","","1.86%"
"2026/03/31","4,672.01","4,511.95","4,687.54","4,482.80","","3.56%"
"2026/03/30","4,511.25","4,493.00","4,581.62","4,419.81","","0.41%"
"2026/03/27","4,492.99","4,390.14","4,556.15","4,375.49","","2.58%"
"2026/03/26","4,380.03","4,511.80","4,544.46","4,350.78","","-2.81%"
"2026/03/25","4,506.55","4,473.51","4,602.64","4,456.13","","0.72%"
"2026/03/24","4,474.44","4,413.83","4,484.27","4,306.15","","1.52%"
"2026/03/23","4,407.62","4,491.66","4,536.32","4,098.87","","-1.86%"
"2026/03/20","4,491.15","4,649.68","4,736.16","4,477.82","","-3.45%"
"2026/03/19","4,651.73","4,825.59","4,867.56","4,503.08","","-3.47%"
"2026/03/18","4,818.81","5,006.76","5,017.54","4,806.80","","-3.74%"
"2026/03/17","5,006.00","5,006.18","5,044.84","4,973.75","","-0.01%"
"2026/03/16","5,006.43","5,019.26","5,038.38","4,967.50","","-0.26%"
"2026/03/13","5,019.25","5,080.70","5,129.13","5,009.51","","-1.20%"
"2026/03/12","5,080.07","5,177.38","5,194.79","5,054.67","","-1.87%"
"2026/03/11","5,177.07","5,189.84","5,223.62","5,149.95","","-0.31%"
"2026/03/10","5,192.94","5,139.30","5,238.70","5,117.84","","1.04%"
"2026/03/09","5,139.56","5,180.45","5,199.37","5,014.73","","-0.61%"
"2026/03/06","5,171.12","5,077.43","5,175.06","5,062.89","","1.85%"
"2026/03/05","5,077.39","5,135.96","5,196.15","5,050.84","","-1.14%"
"2026/03/04","5,135.92","5,087.96","5,206.36","5,083.45","","0.95%"
"2026/03/03","5,087.47","5,327.55","5,380.41","4,996.19","","-4.50%"
"2026/03/02","5,327.42","5,301.75","5,419.25","5,261.37","","0.94%"
"2026/02/27","5,277.90","5,187.61","5,279.56","5,166.54","","1.75%"
"2026/02/26","5,187.26","5,171.00","5,205.90","5,130.73","","0.31%"
"2026/02/25","5,171.16","5,148.27","5,218.16","5,127.21","","0.45%"
"2026/02/24","5,148.18","5,231.55","5,249.96","5,094.50","","-1.59%"
"2026/02/23","5,231.55","5,102.84","5,238.14","5,102.38","","2.49%"
"2026/02/20","5,104.34","4,999.34","5,105.45","4,981.38","","2.10%"
"2026/02/19","4,999.35","4,979.45","5,022.36","4,960.47","","0.40%"
"2026/02/18","4,979.45","4,877.71","5,011.07","4,854.15","","2.09%"
"2026/02/17","4,877.70","4,992.48","5,001.10","4,842.50","","-2.30%"
"2026/02/16","4,992.37","5,040.75","5,041.65","4,966.64","","-1.01%"
"2026/02/13","5,043.11","4,920.27","5,047.93","4,888.71","","2.50%"
"2026/02/12","4,920.32","5,079.04","5,100.25","4,879.05","","-3.12%"
"2026/02/11","5,078.96","5,023.46","5,119.24","5,020.68","","1.10%"
"2026/02/10","5,023.47","5,065.32","5,078.84","4,987.54","","-0.83%"
"2026/02/09","5,065.55","4,960.97","5,086.85","4,960.17","","2.10%"
"2026/02/06","4,961.15","4,770.55","4,971.99","4,655.49","","3.99%"
"2026/02/05","4,770.95","4,963.74","5,024.12","4,760.05","","-3.88%"
"2026/02/04","4,963.60","4,939.34","5,092.68","4,854.81","","0.49%"
"2026/02/03","4,939.33","4,665.16","4,994.28","4,648.50","","5.85%"
"2026/02/02","4,666.27","4,799.72","4,885.08","4,404.12","","-4.09%"
"2026/01/30","4,865.35","5,395.58","5,451.20","4,681.94","","-9.83%"
"2026/01/29","5,395.88","5,399.91","5,595.46","5,110.73","","-0.08%"
"2026/01/28","5,400.25","5,189.63","5,401.62","5,157.35","","4.06%"
"2026/01/27","5,189.62","5,014.85","5,190.56","5,006.20","","3.47%"
"2026/01/26","5,015.34","5,007.11","5,111.40","4,989.85","","0.65%"
"2026/01/23","4,982.91","4,936.75","4,989.93","4,899.72","","0.94%"
"2026/01/22","4,936.75","4,836.95","4,941.25","4,772.38","","2.07%"
"2026/01/21","4,836.67","4,763.53","4,888.22","4,755.70","","1.54%"
"2026/01/20","4,763.49","4,671.02","4,766.46","4,659.34","","1.98%"
"2026/01/19","4,671.02","4,630.80","4,690.80","4,629.80","","1.65%"
"2026/01/16","4,595.10","4,614.90","4,621.27","4,537.15","","-0.43%"
"2026/01/15","4,614.91","4,620.83","4,632.65","4,581.05","","-0.13%"
"2026/01/14","4,620.83","4,588.05","4,643.06","4,585.32","","0.72%"
"2026/01/13","4,588.00","4,593.89","4,634.76","4,569.45","","-0.13%"
"2026/01/12","4,594.00","4,519.45","4,630.47","4,513.57","","1.85%"
"2026/01/09","4,510.45","4,476.71","4,517.40","4,452.62","","0.75%"
"2026/01/08","4,476.73","4,453.04","4,479.80","4,407.48","","0.53%"
"2026/01/07","4,453.04","4,497.33","4,500.65","4,423.47","","-0.99%"
"2026/01/06","4,497.34","4,448.56","4,497.54","4,427.25","","1.10%"
"2026/01/05","4,448.47","4,356.12","4,456.05","4,345.88","","2.72%"
"2026/01/02","4,330.50","4,333.00","4,402.53","4,310.01","","-0.41%"
"2026/01/01","4,348.35","4,329.42","4,351.65","4,324.42","","0.77%"
"2025/12/31","4,315.09","4,346.47","4,373.89","4,274.51","","-0.72%"
"2025/12/30","4,346.51","4,332.09","4,404.51","4,323.33","","0.33%"
"2025/12/29","4,332.08","4,540.70","4,550.10","4,303.75","","-4.42%"
"2025/12/26","4,532.63","4,479.64","4,550.11","4,475.10","","0.83%"
"2025/12/25","4,495.35","4,487.10","4,500.35","4,483.59","","0.35%"
"2025/12/24","4,479.64","4,488.81","4,525.71","4,448.27","","-0.20%"
"2025/12/23","4,488.82","4,445.62","4,499.87","4,429.92","","0.96%"
"2025/12/22","4,445.95","4,338.98","4,449.60","4,337.90","","2.48%"
"2025/12/19","4,338.55","4,332.33","4,356.65","4,309.01","","0.14%"
"2025/12/18","4,332.40","4,341.06","4,374.69","4,308.60","","-0.20%"
"2025/12/17","4,341.08","4,303.80","4,349.13","4,301.27","","0.87%"
"2025/12/16","4,303.80","4,302.58","4,335.16","4,271.34","","0.03%"
"2025/12/15","4,302.70","4,299.00","4,350.50","4,285.21","","0.01%"
"2025/12/12","4,302.43","4,283.26","4,353.72","4,257.60","","0.45%"
"2025/12/11","4,283.28","4,228.53","4,286.24","4,203.98","","1.29%"
"2025/12/10","4,228.55","4,209.56","4,239.10","4,181.68","","0.45%"
"2025/12/09","4,209.54","4,189.00","4,221.67","4,170.00","","0.49%"
"2025/12/08","4,189.05","4,197.19","4,219.31","4,176.34","","-0.19%"
"2025/12/05","4,197.13","4,208.69","4,259.55","4,191.95","","-0.27%"
"2025/12/04","4,208.69","4,206.15","4,219.46","4,174.60","","0.06%"
"2025/12/03","4,206.22","4,208.14","4,242.00","4,194.39","","-0.05%"
"2025/12/02","4,208.14","4,232.72","4,236.28","4,163.01","","-0.58%"
"2025/12/01","4,232.73","4,223.93","4,264.74","4,205.87","","0.05%"
"2025/11/28","4,230.63","4,157.57","4,231.51","4,157.15","","1.76%"
"2025/11/27","4,157.57","4,164.53","4,169.00","4,142.57","","-0.17%"
"2025/11/26","4,164.59","4,131.15","4,173.70","4,128.99","","0.81%"
"2025/11/25","4,131.15","4,139.66","4,159.45","4,109.72","","-0.21%"
"2025/11/24","4,139.70","4,066.47","4,140.13","4,040.03","","1.82%"
"2025/11/21","4,065.90","4,077.54","4,101.37","4,022.70","","-0.28%"
"2025/11/20","4,077.50","4,081.66","4,110.17","4,038.73","","-0.10%"
"2025/11/19","4,081.66","4,067.86","4,133.04","4,055.23","","0.34%"
"2025/11/18","4,067.88","4,044.61","4,082.69","3,997.99","","0.58%"
"2025/11/17","4,044.61","4,082.02","4,106.85","4,006.83","","-0.86%"
"2025/11/14","4,079.58","4,171.47","4,211.68","4,032.32","","-2.20%"
"2025/11/13","4,171.46","4,198.75","4,245.20","4,145.41","","-0.65%"
"2025/11/12","4,198.73","4,126.68","4,211.96","4,098.76","","1.75%"
"2025/11/11","4,126.68","4,115.91","4,149.20","4,097.09","","0.26%"
"2025/11/10","4,115.90","3,999.94","4,116.26","3,997.87","","2.90%"
"2025/11/07","3,999.72","3,977.92","4,027.63","3,974.41","","0.55%"
"2025/11/06","3,977.87","3,982.59","4,019.84","3,964.46","","-0.12%"
"2025/11/05","3,982.62","3,932.06","3,990.60","3,929.61","","1.29%"
"2025/11/04","3,932.05","4,001.67","4,006.00","3,928.66","","-1.74%"
"2025/11/03","4,001.67","4,002.28","4,030.70","3,962.85","","-0.02%"
"2025/10/31","4,002.28","4,024.37","4,046.00","3,972.45","","-0.55%"
"2025/10/30","4,024.47","3,931.15","4,027.44","3,915.17","","2.39%"
"2025/10/29","3,930.38","3,952.52","4,030.40","3,917.12","","-0.56%"
"2025/10/28","3,952.58","3,983.41","4,020.11","3,886.49","","-0.73%"
"2025/10/27","3,981.59","4,065.35","4,109.33","3,971.34","","-3.17%"
"2025/10/24","4,112.10","4,127.13","4,144.70","4,044.70","","-0.34%"
"2025/10/23","4,126.17","4,095.57","4,154.96","4,065.49","","0.78%"
"2025/10/22","4,094.07","4,123.10","4,161.65","4,004.69","","-0.75%"
"2025/10/21","4,125.10","4,355.55","4,375.59","4,086.47","","-5.31%"
"2025/10/20","4,356.50","4,251.82","4,381.60","4,218.81","","2.51%"
"2025/10/17","4,249.98","4,328.75","4,379.44","4,186.91","","-1.76%"
"2025/10/16","4,326.18","4,209.81","4,330.91","4,199.60","","2.79%"
"2025/10/15","4,208.58","4,144.40","4,218.42","4,140.45","","1.60%"
"2025/10/14","4,142.31","4,108.98","4,180.39","4,090.49","","0.77%"
"2025/10/13","4,110.70","4,018.79","4,117.14","4,008.80","","2.30%"
"2025/10/10","4,018.30","3,977.58","4,022.96","3,946.80","","1.06%"
"2025/10/09","3,976.29","4,042.69","4,058.09","3,944.80","","-1.55%"
"2025/10/08","4,038.90","3,983.82","4,059.34","3,982.86","","1.38%"
"2025/10/07","3,983.82","3,962.48","3,991.18","3,940.75","","0.57%"
"2025/10/06","3,961.09","3,888.45","3,970.24","3,883.93","","1.91%"
"2025/10/03","3,886.83","3,857.92","3,891.85","3,838.05","","0.79%"
"2025/10/02","3,856.53","3,866.66","3,897.20","3,819.51","","-0.24%"
"2025/10/01","3,865.80","3,858.84","3,895.45","3,853.44","","0.19%"
"2025/09/30","3,858.51","3,833.84","3,871.87","3,793.18","","0.64%"
"2025/09/29","3,833.93","3,758.59","3,834.58","3,757.62","","1.96%"
"2025/09/26","3,760.24","3,748.18","3,783.88","3,734.58","","0.29%"
"2025/09/25","3,749.37","3,736.67","3,761.66","3,722.04","","0.35%"
"2025/09/24","3,736.29","3,765.78","3,779.54","3,717.30","","-0.74%"
"2025/09/23","3,764.19","3,746.47","3,791.11","3,736.73","","0.47%"
"2025/09/22","3,746.47","3,686.80","3,749.25","3,683.62","","1.67%"
"2025/09/19","3,684.98","3,645.04","3,686.33","3,632.28","","1.11%"
"2025/09/18","3,644.36","3,659.40","3,673.18","3,627.89","","-0.43%"
"2025/09/17","3,660.04","3,691.80","3,707.70","3,645.44","","-0.81%"
"2025/09/16","3,689.80","3,678.84","3,703.23","3,674.66","","0.29%"
"2025/09/15","3,679.13","3,644.40","3,685.65","3,626.60","","0.99%"
"2025/09/12","3,643.13","3,635.01","3,656.86","3,630.48","","0.25%"
"2025/09/11","3,634.09","3,642.60","3,649.27","3,614.01","","-0.18%"
"2025/09/10","3,640.74","3,629.05","3,657.77","3,619.58","","0.39%"
"2025/09/09","3,626.48","3,637.10","3,674.75","3,625.33","","-0.26%"
"2025/09/08","3,635.84","3,586.82","3,646.60","3,579.67","","1.37%"
"2025/09/05","3,586.81","3,547.00","3,600.33","3,540.05","","1.15%"
"2025/09/04","3,546.17","3,560.57","3,564.45","3,511.19","","-0.37%"
"2025/09/03","3,559.43","3,535.69","3,578.80","3,526.26","","0.73%"
"2025/09/02","3,533.73","3,478.36","3,540.64","3,470.20","","1.65%"
"2025/09/01","3,476.47","3,448.00","3,490.06","3,436.80","","0.83%"
"2025/08/29","3,448.00","3,418.20","3,454.08","3,404.29","","0.90%"
"2025/08/28","3,417.20","3,394.18","3,423.36","3,384.46","","0.58%"
"2025/08/27","3,397.42","3,392.88","3,398.94","3,373.76","","0.13%"
"2025/08/26","3,392.88","3,366.78","3,394.33","3,351.26","","0.77%"
"2025/08/25","3,366.79","3,371.23","3,376.47","3,359.69","","-0.16%"
"2025/08/22","3,372.11","3,338.76","3,379.01","3,321.49","","1.00%"
"2025/08/21","3,338.81","3,347.38","3,353.25","3,325.27","","-0.25%"
"2025/08/20","3,347.11","3,315.46","3,350.50","3,311.46","","0.95%"
"2025/08/19","3,315.46","3,332.38","3,345.46","3,314.88","","-0.45%"
"2025/08/18","3,330.55","3,338.00","3,358.50","3,323.52","","-0.15%"
"2025/08/15","3,335.39","3,336.50","3,349.02","3,332.16","","-0.03%"
"2025/08/14","3,336.50","3,354.73","3,374.97","3,329.85","","-0.54%"
"2025/08/13","3,354.73","3,346.20","3,370.90","3,342.65","","0.25%"
"2025/08/12","3,346.20","3,342.64","3,359.27","3,331.03","","0.04%"
"2025/08/11","3,344.83","3,398.50","3,405.10","3,340.82","","-1.59%"
"2025/08/08","3,398.78","3,397.28","3,408.83","3,379.61","","0.04%"
"2025/08/07","3,397.31","3,366.11","3,402.71","3,364.77","","0.84%"
"2025/08/06","3,369.04","3,379.69","3,385.47","3,358.26","","-0.36%"
"2025/08/05","3,381.27","3,373.38","3,390.62","3,349.89","","0.23%"
"2025/08/04","3,373.37","3,365.10","3,385.56","3,345.00","","0.31%"
"2025/08/01","3,362.88","3,290.83","3,363.55","3,281.55","","2.21%"
"2025/07/31","3,290.32","3,275.91","3,314.98","3,273.77","","0.46%"
"2025/07/30","3,275.25","3,324.01","3,334.21","3,268.15","","-1.55%"
"2025/07/29","3,326.84","3,316.54","3,334.21","3,307.95","","0.37%"
"2025/07/28","3,314.64","3,335.00","3,345.56","3,301.66","","-0.68%"
"2025/07/25","3,337.18","3,369.29","3,373.73","3,325.05","","-0.92%"
"2025/07/24","3,368.15","3,387.79","3,393.47","3,351.40","","-0.58%"
"2025/07/23","3,387.78","3,431.26","3,439.09","3,381.45","","-1.27%"
"2025/07/22","3,431.50","3,395.81","3,433.56","3,383.29","","1.05%"
"2025/07/21","3,395.80","3,348.62","3,401.85","3,344.48","","1.36%"
"2025/07/18","3,350.40","3,338.76","3,361.41","3,331.75","","0.34%"
"2025/07/17","3,338.95","3,346.59","3,352.50","3,309.90","","-0.23%"
"2025/07/16","3,346.58","3,322.63","3,377.50","3,319.69","","0.72%"
"2025/07/15","3,322.63","3,343.80","3,366.58","3,320.27","","-0.63%"
"2025/07/14","3,343.80","3,355.91","3,374.94","3,341.10","","-0.36%"
"2025/07/11","3,355.91","3,325.63","3,368.89","3,321.37","","0.99%"
"2025/07/10","3,323.07","3,313.70","3,330.47","3,310.23","","0.28%"
"2025/07/09","3,313.72","3,298.73","3,317.05","3,282.80","","0.39%"
"2025/07/08","3,300.70","3,335.99","3,345.94","3,287.17","","-1.05%"
"2025/07/07","3,335.61","3,335.95","3,343.29","3,296.41","","-0.03%"
"2025/07/04","3,336.64","3,326.44","3,345.15","3,323.59","","0.30%"
"2025/07/03","3,326.57","3,357.36","3,365.81","3,311.70","","-0.92%"
"2025/07/02","3,357.36","3,338.36","3,360.08","3,327.60","","0.54%"
"2025/07/01","3,339.21","3,302.87","3,358.09","3,301.52","","1.08%"
"2025/06/30","3,303.69","3,272.65","3,309.58","3,247.86","","0.90%"
"2025/06/27","3,274.25","3,328.06","3,328.88","3,255.72","","-1.62%"
"2025/06/26","3,328.06","3,332.47","3,350.47","3,310.01","","-0.13%"
"2025/06/25","3,332.46","3,324.20","3,337.23","3,312.00","","0.25%"
"2025/06/24","3,324.20","3,368.79","3,371.01","3,295.38","","-1.33%"
"2025/06/23","3,368.88","3,367.17","3,399.25","3,347.25","","0.02%"
"2025/06/20","3,368.23","3,370.82","3,374.63","3,340.38","","-0.07%"
"2025/06/19","3,370.75","3,369.08","3,388.07","3,347.59","","0.05%"
"2025/06/18","3,369.09","3,390.40","3,400.05","3,362.54","","-0.58%"
"2025/06/17","3,388.74","3,383.20","3,403.39","3,366.25","","0.16%"
"2025/06/16","3,383.20","3,431.54","3,451.62","3,382.40","","-1.44%"
"2025/06/13","3,432.64","3,385.30","3,447.02","3,379.79","","1.40%"
"2025/06/12","3,385.29","3,357.24","3,399.16","3,338.64","","0.94%"
"2025/06/11","3,353.84","3,322.52","3,360.82","3,315.23","","0.93%"
"2025/06/10","3,323.02","3,328.58","3,349.28","3,301.92","","-0.16%"
"2025/06/09","3,328.33","3,311.51","3,338.43","3,293.70","","0.55%"
"2025/06/06","3,310.17","3,354.26","3,375.74","3,306.87","","-1.31%"
"2025/06/05","3,354.16","3,376.55","3,403.55","3,339.20","","-0.66%"
"2025/06/04","3,376.54","3,352.56","3,384.84","3,343.76","","0.72%"
"2025/06/03","3,352.25","3,379.99","3,392.53","3,333.08","","-0.83%"
"2025/06/02","3,380.21","3,289.80","3,383.24","3,289.41","","2.76%"
"2025/05/30","3,289.40","3,319.51","3,322.95","3,271.55","","-0.83%"
"2025/05/29","3,317.02","3,286.36","3,330.94","3,245.55","","0.83%"
"2025/05/28","3,289.76","3,300.70","3,325.68","3,276.31","","-0.33%"
"2025/05/27","3,300.68","3,344.00","3,350.21","3,285.70","","-1.26%"
"2025/05/26","3,342.94","3,354.30","3,357.03","3,323.91","","-0.43%"
"2025/05/23","3,357.42","3,297.15","3,366.39","3,287.24","","1.89%"
"2025/05/22","3,295.00","3,316.49","3,345.62","3,279.55","","-0.60%"
"2025/05/21","3,314.99","3,290.12","3,325.14","3,285.51","","0.76%"
"2025/05/20","3,290.12","3,229.85","3,295.98","3,204.40","","1.87%"
"2025/05/19","3,229.85","3,214.60","3,249.91","3,205.98","","0.85%"
"2025/05/16","3,202.77","3,239.11","3,252.27","3,154.32","","-1.18%"
"2025/05/15","3,240.87","3,178.06","3,241.26","3,120.52","","1.95%"
"2025/05/14","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"2025/05/13","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"2025/05/12","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"2025/05/09","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"2025/05/08","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"2025/05/07","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"2025/05/06","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"2025/05/05","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"2025/05/02","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
"2025/05/01","3,241.00","3,288.55","3,290.94","3,202.09","","-1.45%"
"2025/04/30","3,288.59","3,316.92","3,328.36","3,267.09","","-0.86%"
"2025/04/29","3,317.18","3,341.67","3,349.08","3,299.23","","-0.73%"
"2025/04/28","3,341.67","3,328.40","3,353.33","3,267.81","","0.67%"
"2025/04/25","3,319.45","3,347.20","3,371.15","3,265.25","","-0.89%"
"2025/04/24","3,349.10","3,288.43","3,367.59","3,287.77","","1.85%"
"2025/04/23","3,288.26","3,382.55","3,386.89","3,260.50","","-2.79%"
"2025/04/22","3,382.54","3,421.57","3,500.33","3,366.74","","-1.22%"
"2025/04/21","3,424.30","3,334.41","3,430.93","3,327.82","","2.91%"
"2025/04/17","3,327.54","3,344.41","3,358.00","3,283.87","","-0.47%"
"2025/04/16","3,343.22","3,226.25","3,345.19","3,226.25","121.32K","3.58%"
"2025/04/15","3,227.60","3,210.21","3,234.16","3,209.36","121.32K","0.57%"
"2025/04/14","3,209.28","3,237.35","3,245.84","3,193.41","","-0.83%"
"2025/04/11","3,236.21","3,174.14","3,245.69","3,174.14","","1.96%"
"2025/04/10","3,173.92","3,083.75","3,176.94","3,071.03","","2.98%"
"2025/04/09","3,082.18","2,984.08","3,099.87","2,970.01","","3.30%"
